Authors/Speakers,Title,datetime,type,day,date,time,start_time,end_time
"Anirudh Goyal,Rosemary Nan Ke,Jane Wang,Stefan Bauer,Theophane Weber,Fabio Viola,Bernhard Schölkopf,Stefan Bauer","Inductive Biases, Invariances and Generalization in Reinforcement Learning", ,Workshop,,,,,
"Haytham Fayek,Arslan Chaudhry ·
 David Lopez-Paz,Eugene Belilovsky,Jonathan Schwarz,Marc Pickett ·
 Rahaf Aljundi,Sayna Ebrahimi,Razvan Pascanu,Puneet Dokania",Workshop on Continual Learning, ,Workshop,,,,,
"Tatjana Chavdarova,Caroline V Weis,Amy Zhang,Fariba Yousefi,Mandana Samiei,Larissa Schiavo",Women in Machine Learning Un-Workshop,Mon Jul 13 08:00 AM -- 12:00 AM (CEST) ,AffinityWorkshop,Mon,Jul 13,Jul 13,08:00 AM,12:00 AM
"S. M. Ali Eslami,Irina Higgins,Danilo J. Rezende",Representation Learning Without Labels,Mon Jul 13 10:00 AM -- 01:00 PM,Tutorial,Mon,Jul 13,Jul 13,10:00 AM,01:00 PM
"S. M. Ali Eslami,Irina Higgins,Danilo J. Rezende",Representation Learning Without Labels,Mon Jul 13 08:00 PM -- 11:00 PM (CEST) ,Tutorial,Mon,Jul 13,Jul 13,08:00 PM,11:00 PM
Mihaela van der Schaar,"Machine Learning for Healthcare: Challenges, Methods, Frontiers",Mon Jul 13 10:00 AM -- 01:00 PM,Tutorial,Mon,Jul 13,Jul 13,10:00 AM,01:00 PM
Mihaela van der Schaar,"Machine Learning for Healthcare: Challenges, Methods, Frontiers",Mon Jul 13 08:00 PM -- 11:00 PM (CEST) ,Tutorial,Mon,Jul 13,Jul 13,08:00 PM,11:00 PM
Arno Solin,Machine Learning with Signal Processing,Mon Jul 13 10:00 AM -- 01:00 PM,Tutorial,Mon,Jul 13,Jul 13,10:00 AM,01:00 PM
Arno Solin,Machine Learning with Signal Processing,Mon Jul 13 08:00 PM -- 11:00 PM (CEST) ,Tutorial,Mon,Jul 13,Jul 13,08:00 PM,11:00 PM
"Zhen Xu,Sparkle Russell-Puleri
,Zhengying Liu,Sinead A Williamson,Matthias W Seeger,Wei-Wei Tu ·
 Samy Bengio,Isabelle Guyon",New In ML,Mon Jul 13 01:00 PM -- 06:00 PM (CEST) ,AffinityWorkshop,Mon,Jul 13,Jul 13,01:00 PM,06:00 PM
"Niranjan Srinivas,Andreas Krause,Sham Kakade,Matthias W Seeger",Test of Time: Gaussian Process Optimization in the Bandit Settings: No Regret and Experimental Design,Mon Jul 13 01:00 PM -- 02:00 PM,Test Of Time,Mon,Jul 13,Jul 13,01:00 PM,02:00 PM
"Niranjan Srinivas,Andreas Krause,Sham Kakade,Matthias W Seeger",Test of Time: Gaussian Process Optimization in the Bandit Settings: No Regret and Experimental Design,Mon Jul 13 11:00 PM -- 12:00 AM (CEST) ,Test Of Time,Mon,Jul 13,Jul 13,11:00 PM,12:00 AM
